,description,initial_price,link,scrape_type,title,promotion_duration,post_promotion_price,internet_speed
0," Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box","22,15",https://www2.telenet.be/residential/nl/producten/one?intcmp=betln_nl_menu_oneunlimited,one-unlimited-promo,,,,
1," Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten","10,53",https://www2.telenet.be/residential/nl/producten/one?intcmp=betln_nl_menu_oneunlimited,one-unlimited-promo,,,,
2," downloadsnelheid i
150 GB om te surfen i
10 Mbps uploadsnelheid i
Veilig internet thuis i","33,29",https://www2.telenet.be/residential/nl/producten/internet?intcmp=betln_nl_menu_webdeal,1p-2p-promo, 100 Mbps,,,
3," downloadsnelheid i
Onbeperkt surfen i
20 Mbps uploadsnelheid i
Veilig internet thuis i","49,99",https://www2.telenet.be/residential/nl/producten/internet?intcmp=betln_nl_menu_webdeal,1p-2p-promo, 300 Mbps,12,"61,14",
4," downloadsnelheid i
Onbeperkt surfen i
40 Mbps uploadsnelheid i
Veilig internet thuis i","64,99",https://www2.telenet.be/residential/nl/producten/internet?intcmp=betln_nl_menu_webdeal,1p-2p-promo, 1 Gbps,12,"76,14",
5,,"58,24",https://www2.telenet.be/residential/nl/producten/internet?intcmp=betln_nl_menu_webdeal,1p-2p-promo, Ook een mobiel abonnement nodig?,12,"73,24",
6," Volg vlot online je lessen en binge je favoriete serie.
 

 

150GB volume
Tot 100 Mbps* downloadsnelheid
Max. uploadsnelheid 10 Mbps*
Veilig surfen met Safesurf",20,https://www2.telenet.be/residential/nl/promos/studenten?intcmp=betln_nl_menu_studenten,studenten, Easy Internet,,"33,29",100 Mbps
7," Eindeloos gamen, films streamen en je online lessen volgen. Zelfs samen met een vriend(in)!

 

Onbeperkt volume
Tot 300 Mbps* downloadsnelheid
Max. uploadsnelheid 20 Mbps*
Veilig surfen met Safesurf",25,https://www2.telenet.be/residential/nl/promos/studenten?intcmp=betln_nl_menu_studenten,studenten, All-Internet,,"61,14",300 Mbps
8," Volg vlot online je lessen en binge je favoriete serie.
 

 

150GB volume
Tot 100 Mbps* downloadsnelheid
Max. uploadsnelheid 10 Mbps*
Veilig surfen met Safesurf",20,https://www2.telenet.be/residential/nl/promos/studenten,promos, Easy Internet,,"33,29",100 Mbps
9," Eindeloos gamen, films streamen en je online lessen volgen. Zelfs samen met een vriend(in)!

 

Onbeperkt volume
Tot 300 Mbps* downloadsnelheid
Max. uploadsnelheid 20 Mbps*
Veilig surfen met Safesurf",25,https://www2.telenet.be/residential/nl/promos/studenten,promos, All-Internet,,"61,14",300 Mbps
